Date,Microsoft,Glasses,Phone,Office 10,Band,Hologram,Surface,Office,Silverlight,Outlook,Powerpoint,Office Product Key,Excel,Skype,Windows,Price
2/4/08,95,0,55,0,31,0,42,90,25,91,86,73,86,56,88,27.68
2/5/08,98,39,62,0,12,0,54,93,33,89,80,64,91,42,91,27.84
2/6/08,95,79,66,73,20,0,57,93,28,91,85,75,95,38,93,28.379999
2/7/08,94,0,61,0,19,0,49,95,26,85,93,72,88,35,89,28.26
2/8/08,90,0,73,77,33,0,55,81,24,84,76,56,76,50,90,27.93
2/9/08,83,53,58,0,25,0,51,86,27,64,74,65,55,40,94,27.200001
2/10/08,85,53,69,0,82,0,36,90,31,57,75,91,72,77,93,26.99
2/11/08,92,39,75,0,16,0,25,90,22,88,89,85,91,58,83,27.59
2/12/08,94,0,68,0,28,0,49,92,28,84,79,48,88,29,86,28.120001
2/13/08,94,0,100,0,30,0,37,92,28,82,96,77,89,13,94,27.57
2/14/08,92,0,69,0,12,0,45,86,30,92,74,73,82,48,87,27.870001
2/15/08,89,0,58,78,22,0,34,83,26,87,62,64,82,45,91,28.049999
2/16/08,81,0,63,97,16,0,26,83,20,62,68,77,64,62,95,29.280001
2/17/08,81,0,45,96,16,0,38,87,21,60,65,84,64,50,94,28.629999
2/18/08,88,39,54,0,24,0,44,84,23,87,81,77,85,41,91,28.620001
2/19/08,93,0,76,70,24,0,31,89,25,78,87,71,89,43,89,27.959999
2/20/08,94,38,66,0,24,0,39,90,19,90,92,71,87,16,87,28.299999
2/21/08,93,38,50,0,12,0,52,90,23,84,86,65,82,45,90,29.42
2/22/08,88,41,41,0,17,0,49,81,25,82,85,63,85,35,84,28.620001
2/23/08,79,0,67,96,16,0,19,80,22,63,68,77,59,33,100,29.18
2/24/08,81,50,60,93,21,0,23,83,16,62,75,91,69,33,96,29.17
2/25/08,88,0,90,0,27,0,32,85,23,86,88,58,87,24,85,29.139999
2/26/08,93,36,53,0,34,0,51,88,38,79,86,61,91,27,90,28.559999
2/27/08,96,0,71,0,23,0,37,91,100,88,99,46,100,30,91,28.049999
2/28/08,95,39,64,71,28,0,50,91,59,87,87,57,85,41,93,27.91
2/29/08,89,41,72,0,25,0,49,84,67,82,80,57,84,61,87,28.379999
3/1/08,81,0,60,0,26,0,48,89,66,61,92,71,59,27,95,29.5
3/2/08,84,0,54,0,23,0,39,92,69,50,88,86,58,75,93,29.16
3/3/08,90,37,78,0,23,51,47,86,40,87,84,84,78,43,86,29
3/4/08,92,37,52,0,35,0,59,88,51,90,86,63,83,52,90,29.16
3/5/08,92,37,48,0,23,0,62,94,52,95,90,56,85,47,86,29.16
3/6/08,95,38,51,0,20,0,61,92,54,99,94,61,92,37,94,28.75
3/7/08,88,40,48,0,25,0,42,82,52,81,70,50,86,52,89,28.889999
3/8/08,80,0,57,0,16,0,30,84,49,59,74,93,60,32,91,29.110001
3/9/08,81,49,72,0,15,0,42,85,47,58,87,75,58,74,90,28.280001
3/10/08,88,0,59,0,23,0,35,85,45,81,77,55,84,43,88,28.059999
3/11/08,94,0,62,0,17,0,37,90,52,86,94,70,86,32,91,28.25
3/12/08,95,37,82,0,17,0,30,90,87,89,78,67,89,28,91,28.950001
3/13/08,91,38,47,0,23,0,34,90,48,89,82,48,92,49,91,29.219999
3/14/08,86,40,56,0,21,54,29,82,35,89,64,64,82,52,85,30
3/15/08,78,0,64,96,24,0,35,83,44,65,68,81,56,33,92,30.42
3/16/08,79,0,56,0,15,0,36,81,36,66,77,80,65,74,95,30.25
3/17/08,86,37,70,0,19,0,44,83,33,77,81,68,74,36,84,31.450001
3/18/08,92,0,51,70,20,0,39,88,37,89,68,62,83,36,96,31.799999
3/19/08,93,39,59,0,31,0,42,86,45,86,70,74,84,37,98,29.83
3/20/08,90,42,66,0,26,58,34,81,40,81,65,57,78,31,90,28.99
3/21/08,85,0,63,0,22,0,27,83,47,81,64,61,59,50,92,28.639999
3/22/08,79,0,68,0,40,0,25,74,43,62,65,63,51,71,99,28.52
3/23/08,77,0,39,0,23,0,36,82,33,60,81,82,59,48,95,29.4
3/24/08,86,0,63,0,26,0,30,83,39,75,83,74,77,31,94,29.24
3/25/08,90,37,79,0,15,100,28,85,32,86,79,68,83,36,94,29.08
3/26/08,89,0,55,0,28,0,48,87,30,86,66,56,84,35,85,29.700001
3/27/08,86,37,56,0,19,0,32,81,33,79,66,49,82,40,86,29.209999
3/28/08,85,40,62,73,25,0,30,80,35,79,70,53,75,56,86,29.27
3/29/08,76,51,49,0,16,0,41,77,41,57,65,74,56,49,86,29.389999
3/30/08,78,100,75,0,23,0,32,81,38,61,73,76,56,48,79,20.33
3/31/08,87,36,51,0,23,0,45,86,29,85,100,83,82,39,84,20.52
1/1/09,60,66,57,41,27,0,20,68,59,62,44,45,46,87,46,20.76
1/2/09,67,50,42,0,20,0,15,80,67,74,51,54,57,44,50,19.51
1/3/09,66,55,42,69,45,0,23,78,53,65,61,47,51,73,45,20.120001
1/4/09,65,0,63,100,22,0,33,86,58,65,66,57,48,66,46,19.52
1/5/09,72,0,49,0,26,0,29,86,47,91,62,49,79,47,44,19.469999
1/6/09,74,0,59,26,34,0,17,88,50,100,80,45,74,81,45,19.82
1/7/09,73,0,57,25,33,0,35,86,57,90,71,63,81,53,45,19.09
1/8/09,78,40,53,25,50,0,32,91,51,98,83,62,90,61,60,19.24
1/9/09,85,42,55,40,60,50,41,86,56,84,65,39,84,74,100,19.709999
1/10/09,74,0,50,0,44,0,45,85,60,63,70,59,56,89,84,18.48
1/11/09,73,52,56,33,22,0,45,89,54,62,75,71,54,78,66,19.379999
1/12/09,76,0,64,0,32,47,36,90,54,98,57,50,85,56,61,17.110001
1/13/09,78,40,45,49,56,47,52,92,51,86,78,36,93,80,57,17.200001
1/14/09,77,0,60,24,40,47,52,91,61,85,85,58,83,66,54,17.629999
1/15/09,77,0,62,0,33,0,28,94,51,95,75,56,83,56,51,17.66
1/16/09,74,42,54,0,43,50,33,83,55,90,65,38,77,52,50,18.040001
1/17/09,70,53,38,0,43,0,46,84,49,57,73,59,55,60,55,17.59
1/18/09,68,0,42,32,42,0,36,91,50,60,79,65,72,63,51,17.1
1/19/09,74,39,41,0,32,0,43,89,48,84,73,51,70,72,52,17.83
1/20/09,75,0,50,24,56,0,38,93,60,92,72,56,81,48,48,18.5
1/21/09,77,0,62,0,40,0,29,89,50,90,93,63,83,24,48,18.629999
1/22/09,81,0,53,24,80,0,42,93,51,93,80,57,84,62,50,19.040001
1/23/09,77,42,57,34,42,0,35,88,44,86,71,37,80,73,49,19.66
1/24/09,69,0,51,0,53,0,35,82,67,63,51,50,56,92,48,19.440001
1/25/09,69,0,35,0,42,0,39,86,51,58,81,54,62,90,51,18.799999
1/26/09,73,0,42,24,16,0,40,85,41,81,85,55,88,24,45,19.209999
1/27/09,77,0,47,0,32,0,49,88,48,88,80,62,83,38,47,19.26
1/28/09,77,0,51,36,32,0,41,90,51,93,79,49,78,45,46,19.09
1/29/09,75,40,55,0,41,0,42,91,56,89,81,59,87,35,47,18.09
1/30/09,70,42,57,26,43,100,58,84,52,84,60,52,74,63,46,18.120001
1/31/09,69,0,60,32,42,0,40,91,45,70,70,86,56,50,48,17.91
2/1/09,67,100,35,0,20,60,36,98,49,62,65,100,59,84,48,18
2/2/09,72,76,42,24,31,0,43,97,42,87,61,68,79,57,44,17.209999
2/3/09,75,38,55,0,23,0,39,97,58,94,79,76,91,40,42,17.17
2/4/09,75,95,59,0,31,0,39,100,41,96,68,57,92,53,46,16.959999
2/5/09,72,0,43,47,24,0,33,93,49,94,64,50,81,51,44,16.42
2/6/09,71,0,80,25,33,0,45,86,52,90,64,71,75,50,42,16.15
2/7/09,64,51,74,0,31,0,24,84,57,60,70,42,60,45,47,15.79
2/8/09,66,0,66,46,50,0,23,92,63,56,82,75,64,78,46,15.88
2/9/09,72,37,75,0,23,0,26,88,44,82,83,61,81,62,43,16.120001
2/10/09,74,0,63,0,30,0,40,89,54,86,77,61,84,43,44,15.27
2/11/09,74,0,47,24,39,0,38,89,59,93,90,58,100,48,44,15.28
2/12/09,73,39,59,48,48,0,48,89,57,87,78,51,89,62,41,15.15
2/13/09,71,0,72,0,25,0,39,80,54,81,85,38,70,62,44,16.48
2/14/09,63,0,58,32,42,0,28,78,56,63,70,45,54,60,42,17.110001
2/15/09,65,0,44,32,21,0,48,85,64,57,72,50,56,63,43,17.01
2/16/09,71,38,97,24,32,0,38,89,45,80,71,58,70,37,42,16.65
2/17/09,74,38,100,23,31,45,35,90,55,91,84,51,78,47,42,16.25
2/18/09,73,0,73,24,16,0,28,91,66,91,82,58,84,57,43,16.9
2/19/09,72,39,83,24,24,0,38,90,53,86,87,59,91,41,43,16.959999
2/20/09,68,41,86,25,67,0,32,84,55,79,73,52,71,36,42,17.139999
2/21/09,66,0,71,32,52,0,24,80,53,67,90,60,52,64,47,17.059999
2/22/09,64,0,44,0,21,0,21,87,56,58,90,66,55,76,42,18.33
2/23/09,71,0,66,47,31,45,32,88,45,79,92,48,72,57,40,17.93
2/24/09,73,0,61,96,0,0,44,90,48,96,88,58,90,48,40,17.879999
2/25/09,73,0,71,47,47,0,29,90,66,87,89,42,84,44,43,18.83
2/26/09,73,0,62,47,31,0,39,92,100,86,84,54,81,47,41,18.129999
2/27/09,69,0,53,37,49,0,46,87,68,85,78,39,84,39,43,17.48
2/28/09,64,50,50,31,41,0,17,91,77,64,71,70,49,57,45,18.370001
3/1/09,65,0,41,0,20,0,20,96,73,58,83,76,60,73,45,19.309999
3/2/09,71,37,73,0,30,0,82,96,48,88,77,65,84,52,40,19.290001
3/3/09,75,37,59,23,30,0,100,98,55,88,78,70,87,46,44,18.75
3/4/09,73,0,59,23,15,0,69,93,63,87,87,61,80,46,43,18.76
3/5/09,72,38,42,24,46,45,53,95,59,92,83,56,85,50,41,18.76
3/6/09,68,0,61,50,25,0,44,88,46,77,71,39,74,60,39,19.190001
3/7/09,63,0,57,63,21,60,47,87,51,57,86,54,56,88,46,19.67
3/8/09,64,98,58,30,20,0,33,88,56,52,94,64,49,82,42,19.59
3/9/09,71,37,56,0,30,44,43,89,47,87,100,58,77,42,40,19.35
3/10/09,74,0,63,0,15,0,41,94,45,89,87,72,79,49,44,18.83
3/11/09,71,37,66,0,31,0,49,89,44,86,77,55,92,56,41,19.76
3/12/09,72,0,61,0,47,0,47,86,51,87,86,57,78,90,43,19.200001
3/13/09,70,0,44,25,33,0,65,84,52,74,68,46,86,53,45,18.610001
3/14/09,63,50,45,0,21,60,36,86,64,58,86,57,52,80,43,18.969999
3/15/09,64,49,46,0,20,0,26,90,79,59,84,53,54,100,44,18.780001
3/16/09,69,37,47,35,46,44,64,89,46,82,69,53,73,39,41,18.92
3/17/09,71,0,76,46,54,0,54,87,47,81,97,62,85,63,45,20.91
3/18/09,70,0,58,47,62,45,55,92,53,81,88,38,73,37,43,20.4
3/19/09,76,0,50,47,39,0,44,89,91,81,84,43,89,34,43,19.93
3/20/09,73,81,72,25,50,0,57,81,74,81,78,57,69,68,44,20.25
3/21/09,66,0,46,32,42,0,30,80,84,67,84,46,47,67,47,20.26
3/22/09,66,49,46,31,100,0,34,87,73,57,63,70,58,60,43,20.24
3/23/09,71,37,53,34,22,86,42,91,60,80,90,47,69,48,41,20.190001
3/24/09,73,0,66,45,38,0,46,90,62,85,86,48,81,49,41,19.790001
3/25/09,72,0,70,61,53,0,47,93,57,89,96,47,81,52,44,19.790001
3/26/09,73,37,42,35,46,45,57,89,52,82,92,43,75,56,44,19.32
3/27/09,70,80,48,25,24,48,51,80,49,81,78,39,74,49,42,19.42
3/28/09,63,0,42,30,30,0,25,82,67,66,72,68,63,74,47,30.950001
3/29/09,67,0,68,30,79,0,27,89,52,60,85,75,53,77,47,30.959999
3/30/09,75,0,60,30,22,0,45,87,56,82,76,58,77,45,44,30.77
3/31/09,100,0,58,34,15,0,43,95,59,86,84,85,86,87,55,30.450001
1/1/10,78,81,36,65,37,0,15,68,40,57,48,35,43,94,92,30.66
1/2/10,82,0,24,63,94,0,16,74,37,59,61,43,51,80,96,30.27
1/3/10,84,66,29,69,91,0,11,79,33,76,66,57,57,54,100,30.07
1/4/10,91,51,45,64,46,0,14,82,30,98,70,50,77,56,91,30.35
1/5/10,95,51,47,68,38,82,29,84,33,98,73,43,88,84,88,30.959999
1/6/10,97,0,49,74,59,0,35,87,34,89,84,52,83,85,88,30.860001
1/7/10,100,50,44,70,23,0,35,83,32,97,71,45,86,49,90,31.1
1/8/10,93,52,34,67,32,85,38,76,23,87,69,38,86,46,86,30.59
1/9/10,85,63,38,77,29,0,27,80,38,71,70,55,59,79,99,30.01
1/10/10,89,0,31,81,57,0,24,91,34,65,76,56,61,85,90,28.959999
1/11/10,94,49,38,73,52,80,21,90,27,87,74,45,90,55,86,29.32
1/12/10,96,48,45,74,97,0,44,90,26,100,82,52,92,46,89,29.5
1/13/10,96,48,38,81,66,78,26,92,33,89,91,52,89,55,89,29.67
1/14/10,97,100,34,72,38,0,25,90,33,92,97,63,89,50,84,29.16
1/15/10,91,51,33,69,47,84,38,80,31,87,68,43,87,70,85,28.18
1/16/10,87,0,40,73,72,0,17,84,29,65,67,53,66,77,95,28.41
1/17/10,88,62,34,81,38,100,29,86,33,58,76,65,67,75,91,28.459999
1/18/10,94,0,29,76,44,79,17,87,21,79,71,42,86,43,86,28.629999
1/19/10,96,48,40,65,65,0,22,88,39,93,81,50,94,56,86,27.84
1/20/10,99,0,39,77,80,0,25,88,100,85,79,59,91,50,84,28.02
1/21/10,100,48,38,81,96,78,28,90,52,96,87,49,96,67,89,27.719999
1/22/10,97,51,34,70,85,0,30,86,46,86,86,48,90,62,93,28.01
1/23/10,89,63,38,81,99,0,27,88,50,76,73,53,63,76,96,27.99
1/24/10,88,0,37,70,83,99,30,88,45,63,74,75,65,84,91,28.120001
1/25/10,92,0,37,71,100,0,23,88,34,89,74,59,87,70,88,27.93
1/26/10,97,95,41,68,94,0,36,86,37,90,85,54,89,50,87,28.35
1/27/10,97,71,50,69,50,0,38,85,38,94,96,56,94,58,84,28.59
1/28/10,99,48,51,68,59,0,100,85,39,93,83,50,89,68,84,28.969999
1/29/10,92,0,36,75,39,0,55,77,38,84,81,44,88,57,82,28.77
1/30/10,88,62,42,73,56,0,32,82,36,73,75,50,61,88,97,28.73
1/31/10,92,0,35,79,65,0,35,100,38,65,80,100,69,79,95,28.33
2/1/10,96,47,36,79,86,0,27,94,30,95,80,71,80,59,83,28.629999
2/2/10,100,0,40,75,65,77,29,93,36,95,92,64,95,59,86,28.6
2/3/10,97,0,37,83,58,0,30,93,33,86,89,60,98,50,86,28.67
2/4/10,96,0,35,89,33,0,27,87,32,90,82,57,100,52,81,29.02
2/5/10,92,50,35,73,57,0,38,85,31,78,77,43,73,55,81,28.459999
2/6/10,85,62,45,92,66,0,31,83,40,66,77,63,63,82,90,28.459999
2/7/10,88,0,27,91,46,0,21,90,33,59,80,65,61,73,84,28.629999
2/8/10,93,0,33,79,65,0,30,85,30,77,71,65,88,73,79,28.59
2/9/10,97,47,31,78,50,77,40,90,34,88,90,56,93,49,84,28.629999
2/10/10,96,0,35,77,97,0,42,88,29,90,74,57,85,61,85,28.799999
2/11/10,96,0,39,70,22,79,49,84,37,88,84,49,85,55,83,28.969999
2/12/10,91,51,39,76,0,0,57,81,44,82,66,46,75,46,89,29.18
2/13/10,82,63,38,89,29,0,45,77,62,57,67,57,59,82,90,29.27
2/14/10,83,0,32,84,68,0,30,82,71,58,76,60,58,98,91,29.290001
2/15/10,92,51,89,85,54,0,28,84,55,81,97,51,83,65,85,29.370001
2/16/10,98,98,100,80,56,0,30,84,60,85,88,52,91,56,90,29.629999
2/17/10,95,49,73,82,44,0,39,87,58,83,82,49,97,49,87,29.610001
2/18/10,98,0,49,79,74,0,48,84,50,89,88,54,93,55,86,29.59
2/19/10,92,51,38,83,77,0,26,79,54,84,81,46,89,66,91,29.6
2/20/10,87,62,46,92,28,0,26,82,43,65,77,61,61,82,94,29.879999
2/21/10,90,60,47,85,45,0,28,86,62,65,78,70,66,90,93,29.65
2/22/10,95,93,49,69,64,75,19,86,44,89,81,66,84,54,87,30.01
2/23/10,98,93,48,75,92,0,32,86,43,85,87,53,95,42,88,29.66
2/24/10,97,0,45,83,57,0,28,91,53,85,95,61,86,53,85,29.59
2/25/10,95,0,40,73,36,0,33,82,46,82,89,54,91,61,87,29.77
2/26/10,89,74,34,71,45,0,23,75,48,83,67,40,79,64,87,29.290001
2/27/10,84,61,34,88,55,0,17,79,51,61,74,53,60,100,92,29.16
2/28/10,87,0,42,93,40,0,18,92,52,62,79,75,64,67,90,29.27
3/1/10,95,47,43,89,43,0,22,90,36,88,84,67,92,64,87,29.32
3/2/10,97,47,47,84,71,0,33,89,33,92,93,61,94,74,86,29.35
3/3/10,97,47,45,84,50,0,27,89,35,84,89,60,88,65,87,29.92
3/4/10,95,48,39,80,66,0,32,86,34,82,93,55,86,54,85,30.34
3/5/10,91,51,59,84,38,0,35,79,32,89,73,43,79,47,79,30.32
3/6/10,87,0,50,100,65,0,28,81,46,60,86,60,61,82,92,30.450001
3/7/10,89,61,49,93,27,0,16,90,41,66,93,71,68,68,88,30.82
3/8/10,92,70,42,84,64,0,25,84,37,82,86,63,92,45,79,30.870001
3/9/10,97,47,46,92,57,0,27,87,32,94,88,55,90,62,84,30.67
3/10/10,98,0,46,83,50,0,25,91,35,89,82,45,97,42,84,31.040001
3/11/10,96,0,34,90,43,0,25,85,33,90,88,48,89,40,82,31.360001
3/12/10,91,99,41,89,75,0,20,80,37,83,73,45,91,68,85,31.33
